PostId,Sentiment_Majority,Predicted_o3_zero_shot,Confidence_o3_zero_shot,Predicted_o3_few_shot,Confidence_o3_few_shot,Predicted_o3_naive,Confidence_o3_naive,Predicted_o3-mini_zero_shot,Confidence_o3-mini_zero_shot,Predicted_o3-mini_few_shot,Confidence_o3-mini_few_shot,Predicted_o3-mini_naive,Confidence_o3-mini_naive,Predicted_gpt-4.1_zero_shot,Confidence_gpt-4.1_zero_shot,Predicted_gpt-4.1_few_shot,Confidence_gpt-4.1_few_shot,Predicted_gpt-4.1_naive,Confidence_gpt-4.1_naive,Predicted_gpt-4.1-mini_zero_shot,Confidence_gpt-4.1-mini_zero_shot,Predicted_gpt-4.1-mini_few_shot,Confidence_gpt-4.1-mini_few_shot,Predicted_gpt-4.1-mini_naive,Confidence_gpt-4.1-mini_naive
bk8zqk,1,Positive,0.85,Positive,0.82,Positive,0.88,Positive,0.9,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
qVm8rR,1,Positive,0.83,Positive,0.88,Positive,0.8,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.95,Positive,1,Positive,0.9,Positive,0.8,Positive,0.9,Positive,0.8
6VO7aD,0,Neutral,0.83,Neutral,0.8,Neutral,0.8,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7,Neutral,0.7
Govndo,1,Positive,0.9,Positive,0.85,Positive,0.83,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
WB25dQ,0,Neutral,0.83,Neutral,0.85,Neutral,0.8,Neutral,0.9,Neutral,0.9,Neutral,0.9,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.9,Neutral,0.9,Neutral,0.8
D873nO,1,Positive,0.85,Positive,0.83,Positive,0.8,Positive,0.9,Positive,0.9,Neutral,0.8,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
WBvZQQ,1,Positive,0.8,Positive,0.8,Positive,0.8,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.7,Positive,0.8
QPeJwn,1,Positive,0.88,Positive,0.83,Positive,0.84,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
Jq71za,1,Positive,0.83,Positive,0.8,Positive,0.82,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Neutral,0.7,Positive,0.8,Positive,0.7
ZrW4BB,0,Neutral,0.8,Neutral,0.75,Neutral,0.8,Neutral,0.9,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.9,Neutral,0.8,Neutral,0.8
bkE1Ge,1,Positive,0.83,Positive,0.8,Positive,0.8,Positive,0.9,Positive,0.9,Neutral,0.8,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
pp4GPj,1,Positive,0.9,Positive,0.92,Positive,0.9,Positive,1,Positive,0.95,Positive,0.95,Positive,0.95,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.8
em2eke,1,Positive,0.88,Positive,0.88,Positive,0.9,Positive,1,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
n4816v,1,Positive,0.87,Positive,0.9,Positive,0.83,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.9,Positive,0.9
kR9XVE,1,Positive,0.9,Positive,0.9,Positive,0.92,Positive,0.95,Positive,1,Positive,1,Positive,1,Positive,1,Positive,0.9,Positive,0.8,Positive,0.9,Positive,0.9
D8EgwZ,1,Positive,0.83,Positive,0.88,Positive,0.78,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.95,Positive,0.9,Neutral,0.8,Positive,0.8,Positive,0.8
yZ9gwE,1,Positive,0.9,Positive,0.85,Positive,0.92,Positive,0.95,Positive,0.95,Positive,1,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9
rNna2q,1,Positive,0.9,Positive,0.9,Positive,0.93,Positive,0.9,Positive,0.95,Positive,0.95,Positive,0.9,Positive,1,Positive,1,Positive,0.8,Positive,0.9,Positive,0.9
AgBpZn,0,Neutral,0.8,Neutral,0.84,Neutral,0.85,Neutral,1,Neutral,0.9,Neutral,0.95,Neutral,0.9,Neutral,0.9,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8
joJ6Wm,1,Positive,0.8,Positive,0.8,Positive,0.8,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
9dZ5eO,-1,Negative,0.85,Negative,0.85,Negative,0.83,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.8,Negative,0.9,Negative,0.9
AgdOww,-1,Negative,0.85,Negative,0.83,Negative,0.85,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
QP6Wy3,-1,Negative,0.92,Negative,0.9,Negative,0.93,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.95,Negative,0.9,Negative,0.9,Negative,0.9
Xnkvv8,0,Neutral,0.8,Neutral,0.76,Neutral,0.8,Neutral,0.8,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7,Neutral,0.6,Neutral,0.7
0ldDqb,1,Positive,0.8,Positive,0.8,Positive,0.84,Negative,0.8,Positive,0.9,Neutral,0.8,Positive,0.9,Positive,0.9,Negative,0.9,Positive,0.8,Positive,0.8,Neutral,0.7
joJJK7,1,Positive,0.85,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
3Z2E9b,1,Positive,0.78,Positive,0.85,Positive,0.8,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,1,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
kRplbE,1,Positive,0.82,Positive,0.87,Positive,0.8,Positive,0.95,Positive,0.9,Neutral,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8
rN9n5w,1,Positive,0.8,Positive,0.8,Positive,0.75,Positive,0.9,Positive,0.9,Neutral,0.9,Positive,0.9,Positive,0.9,Neutral,0.7,Positive,0.8,Positive,0.8,Neutral,0.7
ZrDrRe,1,Positive,0.9,Positive,0.9,Positive,0.92,Positive,1,Positive,0.95,Positive,0.95,Positive,0.95,Positive,1,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8
EQXmZa,-1,Negative,0.9,Negative,0.83,Negative,0.88,Negative,0.95,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.9
qVXoWe,1,Positive,0.9,Positive,0.86,Positive,0.8,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
K48zRp,1,Positive,0.8,Positive,0.82,Neutral,0.55,Positive,0.9,Positive,0.8,Positive,0.9,Positive,0.8,Positive,0.9,Negative,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8
Pw7Vwq,-1,Negative,0.86,Negative,0.9,Negative,0.87,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.8
kRgvXe,-1,Negative,0.85,Negative,0.9,Negative,0.92,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
4B48Eq,1,Positive,0.71,Positive,0.8,Positive,0.78,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8,Positive,0.8
pp4w3y,1,Positive,0.87,Positive,0.8,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
D86ZnX,1,Positive,0.82,Positive,0.8,Positive,0.8,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8,Positive,0.8
R2688n,-1,Negative,0.85,Negative,0.83,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.8,Negative,0.8,Negative,0.8
ONEod3,1,Positive,0.88,Positive,0.85,Positive,0.8,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
g8Wqma,1,Positive,0.85,Positive,0.85,Positive,0.8,Positive,0.9,Positive,0.9,Neutral,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Neutral,0.8
K4kP1v,-1,Negative,0.9,Negative,0.85,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
VZvokz,1,Positive,0.85,Positive,0.86,Positive,0.85,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
6V0rpw,1,Positive,0.9,Positive,0.85,Positive,0.93,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
yZ9KwP,-1,Negative,0.93,Negative,0.92,Negative,0.93,Negative,0.9,Negative,0.95,Negative,0.95,Negative,1,Negative,1,Negative,1,Negative,0.9,Negative,0.9,Negative,0.9
bkEDoQ,-1,Negative,0.83,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
R2ky0Z,1,Positive,0.8,Positive,0.85,Positive,0.75,Positive,0.8,Positive,0.9,Neutral,0.8,Positive,0.9,Positive,0.9,Negative,0.9,Positive,0.8,Positive,0.8,Positive,0.8
ppzonl,1,Positive,0.84,Positive,0.82,Positive,0.87,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
6VpA2w,-1,Negative,0.93,Negative,0.95,Negative,0.93,Negative,0.95,Negative,0.9,Negative,0.95,Negative,1,Negative,1,Negative,1,Negative,0.9,Negative,0.9,Negative,0.9
l7VJVm,1,Positive,0.85,Positive,0.8,Positive,0.85,Positive,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Neutral,0.9,Neutral,0.9,Neutral,0.8,Positive,0.8,Neutral,0.8
0l1v7d,1,Positive,0.85,Positive,0.9,Positive,0.8,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
Jq01Am,1,Positive,0.9,Positive,0.83,Positive,0.8,Positive,1,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
kR92Oz,0,Neutral,0.75,Neutral,0.75,Neutral,0.7,Negative,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7,Neutral,0.7,Negative,0.7
g8labW,1,Positive,0.8,Positive,0.78,Negative,0.78,Positive,0.9,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
w5W7Kv,0,Neutral,0.8,Neutral,0.6,Neutral,0.8,Neutral,0.9,Negative,0.8,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7,Neutral,0.7,Neutral,0.7
yZJQq0,1,Positive,0.8,Positive,0.83,Neutral,0.7,Neutral,0.9,Positive,0.9,Neutral,0.9,Positive,0.9,Positive,0.8,Neutral,0.8,Neutral,0.8,Positive,0.8,Neutral,0.7
l74GlX,-1,Negative,0.82,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.9
86KwZX,1,Positive,0.75,Positive,0.8,Positive,0.8,Positive,0.8,Positive,0.8,Neutral,0.8,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8,Negative,0.7
AgX00q,1,Positive,0.75,Positive,0.78,Positive,0.75,Positive,0.9,Positive,0.8,Neutral,0.8,Positive,0.8,Positive,0.8,Neutral,0.8,Positive,0.8,Positive,0.7,Neutral,0.7
kR62Qy,1,Positive,0.85,Positive,0.8,Neutral,0.8,Neutral,0.95,Positive,0.95,Neutral,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Neutral,0.8,Positive,0.8,Neutral,0.8
PwPGgo,1,Positive,0.83,Positive,0.83,Positive,0.8,Positive,0.95,Positive,0.9,Neutral,0.9,Positive,0.9,Positive,0.9,Negative,0.9,Neutral,0.8,Positive,0.8,Neutral,0.8
ppX57n,1,Positive,0.93,Positive,0.93,Positive,0.92,Positive,0.95,Positive,0.95,Positive,0.95,Positive,0.95,Positive,1,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8
AgOdVl,0,Neutral,0.7,Neutral,0.77,Negative,0.75,Neutral,0.9,Neutral,0.8,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8
oJVd4k,1,Positive,0.75,Positive,0.8,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Positive,0.9,Positive,0.9,Negative,0.9,Negative,0.8,Positive,0.8,Negative,0.8
dgbA2a,-1,Negative,0.83,Negative,0.83,Negative,0.95,Negative,0.95,Negative,0.9,Negative,0.95,Negative,0.9,Negative,0.95,Negative,0.95,Negative,0.8,Negative,0.9,Negative,0.9
WBONjB,-1,Positive,0.75,Positive,0.8,Negative,0.83,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
n4Znww,0,Neutral,0.75,Negative,0.75,Neutral,0.8,Neutral,0.9,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8
g8QK5g,1,Positive,0.75,Positive,0.78,Negative,0.75,Negative,0.9,Negative,0.9,Negative,0.9,Positive,0.9,Positive,0.9,Positive,0.7,Positive,0.8,Positive,0.8,Negative,0.8
D80Xpa,1,Positive,0.83,Positive,0.8,Neutral,0.8,Positive,0.95,Neutral,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Neutral,0.7,Neutral,0.7,Neutral,0.7
4BGpkV,0,Neutral,0.7,Neutral,0.8,Neutral,0.6,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Negative,0.8,Neutral,0.7,Neutral,0.7,Neutral,0.7
ONKoAz,1,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.9,Positive,1,Positive,1,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
WB9QJd,-1,Negative,0.83,Negative,0.83,Negative,0.83,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
R24APX,1,Positive,0.8,Positive,0.8,Neutral,0.7,Positive,0.9,Positive,0.95,Negative,0.8,Positive,0.9,Positive,0.9,Negative,0.9,Positive,0.8,Positive,0.8,Neutral,0.7
